Id,Name,Name en,Region,Created at,Updated at
98,ချောက်,Chauk,7,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
97,ရေနံချောင်း,Yenangyaung,7,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
96,မကွေး,Magway,7,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
95,ကြာအင်းဆိပ်ကြီး,Kyain Seikgyi,6,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
94,ကော့ကရိတ်,Kawkareik,6,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
93,မြဝတီ,Myawaddy,6,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
92,သံတောင်ကြီး,Thandaunggyi,6,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
91,ဖာပွန်,Hpapun,6,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
90,လှိုင်းဘွဲ့,Hlaingbwe,6,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
89,ဘားအံ,Hpa-an,6,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
88,မဲ့စဲ့,Mese,5,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
87,ဖားဆောင်း,Hpasawng,5,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
86,ဘော်လခဲ,Bawlakhe,5,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
85,ရှားတော,Shadaw,5,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
84,ဖရူဆို,Hpruso,5,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
83,ဒီမောဆို,Demoso,5,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
82,လွိုင်ကော်,Loikaw,5,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
81,နောင်မွန်း,Nogmung,4,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
80,ခေါင်လန်ဖူး,Khaunglanhpu,4,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
79,မချမ်းဘော,Machanbaw,4,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
78,ဆွန်ပရာဘွမ်,Sumprabum,4,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
77,ပူတာအို,Putao,4,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
76,မံစီ,Mansi,4,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
75,မိုးမောက်,Momauk,4,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
74,ရွှေကူ,Shwegu,4,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
73,ဗန်းမော်,Bhamo,4,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
72,ဖားကန့်,Hpakan,4,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
71,မိုးကောင်း,Mogaung,4,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
70,မိုးညှင်း,Mohnyin,4,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
69,ဆော့လော်,Tsawlaw,4,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
68,ချီဖွေ,Chipwi,4,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
67,တနိုင်း,Tanai,4,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
66,အင်ဂျန်းယန်,N Jang Yang,4,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
65,ဝိုင်းမော်,Waingmaw,4,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
64,မြစ်ကြီးနား,Myitkyina,4,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
63,ပလက်ဝ,Paletwa,3,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
62,ကန်ပက်လက်,Kanpetlet,3,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
61,မတူပီ,Matupi,3,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
60,မင်းတပ်,Mindat,3,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
59,တွန်းဇံ,Tonzang,3,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
58,တီးတိန်,Tedim,3,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
57,ထန်တလန်,Thantlang,3,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
56,ဟားခါး,Hakha,3,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
